,vintage,dependents,branch_code,days_since_last_transaction,current_balance,previous_month_end_balance,average_monthly_balance_prevQ,average_monthly_balance_prevQ2,current_month_credit,previous_month_credit,current_month_debit,previous_month_debit,current_month_balance,previous_month_balance,customer_id,gender,occupation,customer_nw_category,age,city,churn
1,310.0,0.0,3214.0,60.0,5390.37,8704.66,7799.26,12419.41,0.56,0.56,5486.27,100.56,6496.78,8787.61,2.0,Male,self_employed,2.0,35.0,834.0,0
2,2356.0,0.0,41.0,31.0,3913.16,5815.29,4910.17,2815.94,0.61,0.61,6046.73,259.23,5006.28,5070.14,4.0,Male,salaried,2.0,31.0,146.0,0
3,478.0,0.0,582.0,147.0,2291.91,2291.91,2084.54,1006.54,0.47,0.47,0.47,2143.33,2291.91,1669.79,5.0,Male,self_employed,2.0,90.0,1020.0,1
4,2531.0,2.0,388.0,58.0,927.72,1401.72,1643.31,1871.12,0.33,714.61,588.62,1538.06,1157.15,1677.16,6.0,Male,self_employed,3.0,42.0,1494.0,1
5,263.0,0.0,1666.0,60.0,15202.2,16059.34,15211.29,13798.82,0.36,0.36,857.5,286.07,15719.44,15349.75,7.0,Female,self_employed,2.0,42.0,1096.0,0
6,5922.0,0.0,1.0,98.0,7006.93,7714.19,7859.74,11232.37,0.64,0.64,1299.64,439.26,7076.06,7755.98,8.0,Male,retired,1.0,72.0,1020.0,0
9,3379.0,3.0,38.0,0.0,4957.95,4244.38,2168.53,1864.33,6912.29,4206.13,1887.3,1348.85,1823.16,2416.69,11.0,Male,self_employed,2.0,40.0,1020.0,0
10,661.0,0.0,709.0,5.0,1928.76,1571.47,1722.6,747.66,443.4,0.54,0.54,208.79,1606.54,1800.15,12.0,Male,retired,3.0,68.0,409.0,0
12,2438.0,0.0,409.0,47.0,554.38,5728.66,1794.39,137.25,0.33,500.33,5098.9,508.53,2541.22,2612.6,14.0,Male,retired,3.0,73.0,44.0,1
13,5703.0,0.0,88.0,303.0,4548.48,3526.01,2831.89,8075.81,0.61,0.61,1748.08,2529.75,2985.16,1536.98,15.0,Male,salaried,1.0,50.0,409.0,0
14,2314.0,0.0,569.0,52.0,5431.42,5489.14,6532.99,7720.34,0.66,661.73,0.66,2811.53,5437.04,6633.94,16.0,Female,self_employed,2.0,48.0,665.0,1
15,1934.0,0.0,149.0,31.0,2010.98,1994.84,1829.43,2415.57,0.16,0.16,128.66,360.7,1960.91,1840.23,17.0,Female,self_employed,3.0,51.0,1232.0,0
17,6111.0,0.0,32.0,3.0,5292.13,3804.06,3946.99,3931.91,3916.91,0.27,0.27,16.7,4158.66,3810.95,20.0,Female,self_employed,2.0,52.0,1096.0,0
19,3500.0,0.0,542.0,31.0,3042.7,3118.34,2843.98,2606.86,0.3,1986.01,104.44,1000.3,3101.18,2692.52,22.0,Female,self_employed,2.0,41.0,1020.0,1
21,2083.0,0.0,1106.0,31.0,4792.6,5149.74,5569.58,4826.6,0.47,0.47,357.61,786.19,5029.05,5744.21,24.0,Female,self_employed,2.0,29.0,1020.0,1
23,1897.0,0.0,671.0,4.0,2497.52,1401.93,1657.7,2357.17,2072.09,0.66,1191.06,1786.37,1185.47,2098.38,26.0,Male,self_employed,2.0,34.0,931.0,0
24,754.0,2.0,221.0,47.0,2596.21,3023.7,4867.68,7592.46,0.6,12.45,635.56,6069.1,2847.25,4957.86,27.0,Male,salaried,2.0,48.0,218.0,1
26,2620.0,2.0,58.0,20.0,20273.43,23106.03,26221.15,5594.83,7.83,722.68,853.09,1557.17,21741.48,25504.19,29.0,Male,self_employed,1.0,36.0,1563.0,0
27,1391.0,0.0,2421.0,9.0,7111.29,6971.29,7040.32,7298.14,143.26,0.4,3.26,0.4,7019.56,6971.29,30.0,Male,self_employed,3.0,56.0,836.0,0
38,2350.0,0.0,1130.0,10.0,5575.95,5230.81,5287.41,5404.32,357.8,0.66,0.66,0.66,5354.17,5243.52,41.0,Male,self_employed,2.0,47.0,834.0,0
40,6834.0,0.0,17.0,3.0,13148.58,12725.72,12754.06,11908.97,423.47,0.61,0.61,0.61,12937.74,12725.72,43.0,Male,retired,2.0,69.0,146.0,0
43,2938.0,0.0,509.0,100.0,2899.7,3315.42,3568.09,3893.81,0.27,0.27,715.99,2328.84,3308.91,3918.18,46.0,Female,self_employed,1.0,55.0,146.0,0
45,3168.0,2.0,3660.0,7.0,6792.03,2075.19,3944.52,779.19,16642.73,10147.4,11925.89,10303.49,6495.58,2370.54,48.0,Male,self_employed,2.0,48.0,579.0,0
46,4526.0,0.0,654.0,11.0,1540.21,1536.52,1577.99,1795.98,1428.73,7828.73,3928.73,7143.01,751.91,2606.82,49.0,Male,self_employed,2.0,41.0,52.0,0
48,3428.0,3.0,303.0,14.0,3854.44,3402.88,7996.88,17827.68,1428.76,1428.76,78.33,10552.2,3300.27,7293.4,51.0,Male,self_employed,2.0,52.0,1002.0,1
50,1957.0,0.0,438.0,31.0,9885.21,9885.21,9885.21,9821.38,0.17,0.17,0.17,0.17,9885.21,9885.21,54.0,Female,self_employed,2.0,45.0,1096.0,0
52,1916.0,0.0,955.0,17.0,1443.95,1560.6,1499.63,1323.69,328.86,328.86,416.93,294.44,1547.19,1565.14,56.0,Male,self_employed,2.0,65.0,1494.0,0
53,2292.0,0.0,353.0,3.0,21252.86,20848.89,21926.19,18861.56,782.48,0.47,344.44,1912.35,20721.47,21741.64,57.0,Male,self_employed,3.0,34.0,146.0,0
54,4843.0,0.0,15.0,20.0,894.72,610.75,2002.71,1029.63,487.46,487.46,120.31,3334.6,871.43,1369.55,58.0,Female,self_employed,2.0,51.0,1020.0,0
55,2380.0,0.0,717.0,31.0,1499.55,1499.55,1499.55,1490.06,0.31,0.31,0.31,0.31,1499.55,1499.55,59.0,Female,self_employed,3.0,72.0,485.0,0
57,1040.0,0.0,2754.0,5.0,2788.4,1945.72,2121.84,3567.85,1022.96,0.54,180.28,15.9,2109.38,1957.62,61.0,Female,student,2.0,19.0,834.0,0
59,4995.0,1.0,84.0,116.0,3373.21,3377.04,5647.25,8408.92,0.54,0.54,0.54,4286.26,3373.74,5900.63,63.0,Male,self_employed,2.0,49.0,814.0,0
60,1037.0,0.0,88.0,76.0,4091.66,3911.4,3817.38,3687.68,0.2,0.2,0.2,143.06,3948.7,3940.44,64.0,Female,self_employed,2.0,68.0,1111.0,0
61,4870.0,0.0,176.0,11.0,12039.77,11695.56,11506.59,8441.8,342.91,285.77,0.06,0.06,11935.11,11566.53,65.0,Male,salaried,2.0,45.0,1322.0,0
63,451.0,0.0,2444.0,3.0,6926.41,4724.56,4217.47,2547.56,2202.39,1500.53,0.53,1429.1,5073.02,4687.69,67.0,Male,student,3.0,13.0,1589.0,0
66,2709.0,2.0,526.0,25.0,5065.29,5493.38,5517.33,6507.79,65.8,65.8,493.89,65.31,5289.17,5493.32,70.0,Male,self_employed,2.0,60.0,1178.0,0
68,1043.0,0.0,1904.0,173.0,7151.46,7151.46,7132.17,6939.37,0.4,0.4,0.4,0.4,7151.46,7151.46,72.0,Male,student,1.0,21.0,745.0,0
69,434.0,2.0,619.0,5.0,27970.63,30174.91,29183.26,31724.2,5970.89,14968.34,5395.31,9534.1,27609.06,26970.91,73.0,Male,self_employed,2.0,57.0,491.0,0
72,5621.0,2.0,67.0,7.0,11902.1,17154.34,22557.45,26515.79,9490.71,40227.94,14028.67,59542.94,9599.97,26536.82,76.0,Male,self_employed,1.0,47.0,1494.0,0
73,1390.0,0.0,2760.0,25.0,2662.21,2590.78,2500.33,4217.13,143.46,183.14,72.03,0.6,2704.08,2575.33,77.0,Male,salaried,3.0,61.0,318.0,0
74,6244.0,0.0,1.0,0.0,54686.7,19568.0,20354.78,56390.75,53551.68,1804.39,17864.3,73.01,27917.15,17771.8,78.0,Male,salaried,1.0,70.0,1020.0,0
75,765.0,0.0,231.0,19.0,2585.29,2013.86,2145.23,2001.11,571.57,0.14,0.14,0.14,2407.95,2013.86,79.0,Female,self_employed,3.0,26.0,698.0,0
77,4237.0,0.0,3648.0,6.0,39462.27,37735.69,39371.37,34742.38,6904.7,7065.39,3423.32,1973.06,41740.9,38821.4,81.0,Male,salaried,1.0,32.0,575.0,0
78,2053.0,2.0,1516.0,5.0,4587.28,2396.64,3776.63,2877.55,6019.98,8614.97,4619.4,7526.69,5530.89,2620.73,82.0,Male,salaried,2.0,55.0,146.0,0
80,762.0,0.0,2042.0,138.0,9931.34,10074.2,10165.31,10167.53,0.4,0.4,0.4,0.4,10024.94,10161.76,84.0,Female,self_employed,3.0,40.0,745.0,0
82,3422.0,0.0,1771.0,20.0,11636.85,11239.9,9482.92,7835.2,242.66,281.03,1594.4,2291.33,10875.19,11022.47,86.0,Female,self_employed,2.0,63.0,630.0,0
85,844.0,0.0,2539.0,20.0,3537.16,3137.31,3658.26,1726.28,471.97,1386.26,71.97,4871.97,3497.27,2805.97,89.0,Male,self_employed,2.0,33.0,1477.0,0
86,1395.0,0.0,2126.0,49.0,12913.08,13185.93,11588.33,11725.2,0.16,4285.87,115.87,0.16,12926.87,11757.0,90.0,Male,salaried,3.0,53.0,775.0,0
87,4696.0,0.0,11.0,69.0,3144.56,3145.98,2800.31,877.99,0.01,0.01,1.44,0.01,3145.84,3145.98,91.0,Female,self_employed,1.0,19.0,1096.0,0
